# employees, sharesOffered, priceLow, totalExpenses, sharesOutstanding, revenue, netIncome, totalAssets, totalLiabilities, stockholderEquity, amount, percentOffered, state_, state_CA, state_CO, state_CT, state_DC, state_DE, state_FL, state_GA, state_IL, state_KS, state_MA, state_MD, state_MO, state_NC, state_NJ, state_NY, state_PA, state_TN, state_TX, state_UT, state_WA, market_NASDAQ Capital, market_NASDAQ Global, market_NASDAQ Global Select, market_NYSE, market_NYSE MKT
5.000000000000000000e+02,9.000000000000000000e+06,3.600000000000000000e+01,5.200000000000000000e+06,1.709538200000000000e+07,1.093970000000000000e+08,-1.451400000000000000e+07,1.555940000000000000e+08,1.402980000000000000e+08,-2.279480000000000000e+08,3.330000000000000000e+08,5.264999999999999858e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+03,1.750000000000000000e+07,1.400000000000000000e+01,5.000000000000000000e+06,1.224111980000000000e+08,1.988720000000000000e+08,-3.417700000000000000e+07,4.183990000000000000e+08,1.862550000000000000e+08,-1.734710000000000000e+08,2.625000000000000000e+08,1.430000000000000071e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.780000000000000000e+02,1.380000000000000000e+06,1.450000000000000000e+01,5.008113000000000000e+06,3.364969200000000000e+07,2.940600000000000000e+07,-6.627000000000000000e+06,6.236200000000000000e+07,1.569000000000000000e+07,-1.233470000000000000e+08,2.208000000000000000e+07,4.099999999999999645e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,4.375000000000000000e+06,1.500000000000000000e+01,2.400000000000000000e+06,1.206359200000000000e+07,0.000000000000000000e+00,-1.941200000000000000e+07,2.234700000000000000e+07,9.537000000000000000e+06,-3.535800000000000000e+07,7.000000000000000000e+07,3.627000000000000313e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.516000000000000000e+03,8.900000000000000000e+06,7.500000000000000000e+00,6.259800000000000000e+06,8.900000000000000000e+06,1.794020000000000000e+08,7.858200000000000000e+07,1.458271000000000000e+09,2.390310000000000000e+08,1.008548000000000000e+09,7.565000000000000000e+07,1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.380000000000000000e+02,1.029500000000000000e+07,1.600000000000000000e+01,5.000000000000000000e+06,6.687223300000000000e+07,2.340000000000000000e+06,-1.164840000000000000e+08,1.376820000000000000e+08,2.652600000000000000e+07,1.111560000000000000e+08,1.750150000000000000e+08,1.540000000000000036e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+06,1.900000000000000000e+01,2.325180000000000000e+06,7.500000000000000000e+06,9.426482000000000000e+06,2.925819000000000000e+06,1.502412060000000000e+08,2.663291000000000000e+06,1.475779150000000000e+08,1.500000000000000000e+08,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.075970000000000000e+07,8.099999999999999645e+00,4.779000000000000000e+06,2.075970000000000000e+07,3.894247300000000000e+07,2.728955000000000000e+07,1.013314155000000000e+09,5.790684790000000000e+08,4.342456760000000000e+08,1.720979130000000000e+08,1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.428571000000000000e+06,6.000000000000000000e+00,7.589310000000000000e+05,5.927267000000000000e+06,0.000000000000000000e+00,-7.897240000000000000e+05,3.798750000000000000e+05,1.677691000000000000e+06,-8.374768000000000000e+06,9.999997000000000000e+06,2.410000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.010000000000000000e+02,1.666700000000000000e+06,1.200000000000000000e+01,3.488675000000000000e+06,1.666700000000000000e+06,1.135000000000000000e+06,-9.611000000000000000e+06,1.007500000000000000e+07,1.566600000000000000e+07,-5.607000000000000000e+06,2.166710000000000000e+07,1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
